type,species,CTmax_mean,CTmax_SE
Culex,Culex erethyzonfer,38.52439024,0.347004261
Damsel,Mecistogaster modesta,44.91666667,0.274091705
Poly,Polypedilum sp.,40.45238095,0.33642995
Scirtid,Scirtid sp.,41.90697674,0.245251591
Tipulid,Trentepohlia sp. ,42.2375,0.266739273
