site,side,site_elev,av_daily_mean,av_daily_mean_SD,av_daily_max,av_daily_max_SD,av_daily_min,av_daily_min_SD
Aleman,Atlantic,922,94.16048818,4.148175205,99.35789474,0.728095585,81.89473684,12.2600143
DosAses,Atlantic,1220,98.66763784,1.726324293,99.98947368,0.102597835,93.78947368,7.317851587
Eladios,Atlantic,882,88.86828124,6.744882056,96.08421053,2.700130643,77.86315789,11.81651434
Pantanoso,Atlantic,1605,98.75984822,2.205268744,99.88421053,0.543102943,95.43157895,6.664693624
UGA,Pacific,1100,77.49589474,6.007071275,88.6,3.854811859,57.92631579,10.31549352
Ventana,Pacific,1550,94.79592868,2.898882637,97.68421053,0.550882424,86.10526316,10.72030653
